id,sku,name,category,brand,price,discount_percent,final_price,stock,rating,status,description,image_url
1,KDLC-SPO-0001,Nova Resistance Bands,Sports,Nova,3758.44,5,3570.52,57,3.3,Active,"Nova Resistance Bands - premium quality resistance bands from Nova, ideal for everyday use.",/images/products/kdlc-spo-0001.jpg
2,KDLC-ELE-0002,Zentra Webcam HD,Electronics,Zentra,3033.36,0,3033.36,7,3.2,Active,"Zentra Webcam HD - premium quality webcam hd from Zentra, ideal for everyday use.",/images/products/kdlc-ele-0002.jpg
3,KDLC-FAS-0003,Solace Wrist Watch,Fashion,Solace,326.37,5,310.05,183,4.3,Active,"Solace Wrist Watch - premium quality wrist watch from Solace, ideal for everyday use.",/images/products/kdlc-fas-0003.jpg
4,KDLC-BOO-0004,Prime Diary 2026,Books & Stationery,Prime,2355.2,10,2119.68,207,4.7,Active,"Prime Diary 2026 - premium quality diary 2026 from Prime, ideal for everyday use.",/images/products/kdlc-boo-0004.jpg
5,KDLC-FAS-0005,Vertex Formal Shirt,Fashion,Vertex,1532.78,5,1456.14,245,4.5,Active,"Vertex Formal Shirt - premium quality formal shirt from Vertex, ideal for everyday use.",/images/products/kdlc-fas-0005.jpg
6,KDLC-ELE-0006,Bloom Bluetooth Speaker,Electronics,Bloom,663.24,30,464.27,88,4.2,Active,"Bloom Bluetooth Speaker - premium quality bluetooth speaker from Bloom, ideal for everyday use.",/images/products/kdlc-ele-0006.jpg
7,KDLC-ELE-0007,Craft Mechanical Keyboard,Electronics,Craft,798.17,15,678.44,20,4.1,Active,"Craft Mechanical Keyboard - premium quality mechanical keyboard from Craft, ideal for everyday use.",/images/products/kdlc-ele-0007.jpg
8,KDLC-SPO-0008,Vertex Cycling Helmet,Sports,Vertex,2970.29,25,2227.72,17,3.1,Active,"Vertex Cycling Helmet - premium quality cycling helmet from Vertex, ideal for everyday use.",/images/products/kdlc-spo-0008.jpg
9,KDLC-FAS-0009,Zentra Sunglasses,Fashion,Zentra,4304.53,30,3013.17,25,3.8,Active,"Zentra Sunglasses - premium quality sunglasses from Zentra, ideal for everyday use.",/images/products/kdlc-fas-0009.jpg
10,KDLC-BEA-0010,Urbanix Shampoo 200ml,Beauty,Urbanix,1975.87,5,1877.08,171,3.5,Active,"Urbanix Shampoo 200ml - premium quality shampoo 200ml from Urbanix, ideal for everyday use.",/images/products/kdlc-bea-0010.jpg
11,KDLC-SPO-0011,Solace Resistance Bands,Sports,Solace,3246.9,20,2597.52,186,3.5,Active,"Solace Resistance Bands - premium quality resistance bands from Solace, ideal for everyday use.",/images/products/kdlc-spo-0011.jpg
12,KDLC-BEA-0012,Aria Perfume 50ml,Beauty,Aria,4948.71,25,3711.53,176,4.1,Active,"Aria Perfume 50ml - premium quality perfume 50ml from Aria, ideal for everyday use.",/images/products/kdlc-bea-0012.jpg
13,KDLC-SPO-0013,Nova Gym Gloves,Sports,Nova,1298.43,0,1298.43,206,3.6,Active,"Nova Gym Gloves - premium quality gym gloves from Nova, ideal for everyday use.",/images/products/kdlc-spo-0013.jpg
14,KDLC-HOM-0014,Prime Electric Kettle,Home & Kitchen,Prime,4582.05,20,3665.64,224,4.4,Active,"Prime Electric Kettle - premium quality electric kettle from Prime, ideal for everyday use.",/images/products/kdlc-hom-0014.jpg
15,KDLC-FAS-0015,Bloom Casual Sneakers,Fashion,Bloom,4445.48,25,3334.11,117,3.3,Active,"Bloom Casual Sneakers - premium quality casual sneakers from Bloom, ideal for everyday use.",/images/products/kdlc-fas-0015.jpg
16,KDLC-FAS-0016,Craft Leather Wallet,Fashion,Craft,2786.09,25,2089.57,149,3.9,Active,"Craft Leather Wallet - premium quality leather wallet from Craft, ideal for everyday use.",/images/products/kdlc-fas-0016.jpg
17,KDLC-BOO-0017,Vertex Diary 2026,Books & Stationery,Vertex,1251.74,5,1189.15,130,4.0,Active,"Vertex Diary 2026 - premium quality diary 2026 from Vertex, ideal for everyday use.",/images/products/kdlc-boo-0017.jpg
